Ime.i.prezime,Tijelo.javne.vlasti,Izvor.informacija,Godina,Datum.putovanja.polazak,Datum.putovanja.povratak,Odrediste,Broj.osoba.u.pratnji,Koristen.Vladin.zrakoplov,Iznos.putnih.troskova.po.sluzbenom.putovanju.u.kn,Iznos.troskova.smjestaja.po.sluzbenom.putovanju.u.kn,Iznos.troskova.reprezentacije.u.kn,Ukupni.troskovi.u.kn,Prosjek.troska.u.kn.po.osobi,Mjesec
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Beč, Austrija",3,ne,9825.7,2126.32,1332,13284.02,3321.005,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,Mađarska,4,ne,125,0,,125,25,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Bruxelles, Belgija",4,ne,5549,800,,6349,1269.8,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,Slovenija,6,ne,869.14,244.6,,1113.74,159.1057143,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Luxembourg, Luxembourg",3,ne,8969.88,2150.62,,11120.5,2780.125,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Rim, Italija",4,ne,16820.89,9221.1,,26041.99,5208.398,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Borovo, Hrvatska",2,ne,644,0,419,1063,354.3333333,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Bruxelles, Belgija",2,ne,6047.08,1517.97,,7565.05,2521.683333,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,Bosna i Hercegovina,3,ne,232.61,0,,232.61,58.1525,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Luxembourg, Luxembourg",2,ne,8772.46,370,,9142.46,3047.486667,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,Slovačka,6,ne,2368.52,1466.33,140.9,3975.75,567.9642857,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,Austrija,2,ne,332.37,0,,332.37,110.79,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Sofia, Bugarska",3,ne,7420.02,0,,7420.02,1855.005,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Luxembourg, Luxembourg",2,ne,12678.37,3820,1170.25,17668.62,5889.54,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Prag, Češka",4,ne,6051.9,281.68,,6333.58,1266.716,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Bruxelles, Belgija",2,ne,6927.74,443,,7370.74,2456.913333,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Warsava, Poljska",3,ne,3048.82,316.6,,3365.42,841.355,
Vlaho Orepić,Ministarstvo unutarnjih poslova,http://imamopravoznati.org/request/putni_troskovi_za_orepica_minist,2016,,,"Bruxelles, Belgija",2,ne,6721.45,1523.97,,8245.42,2748.473333,
Anka Mrak-Taritaš,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_mrak_taritas_m,2012,2012-11-16,2012-11-17,"Cavtat, Hrvatska",1,ne,2631.66,1053.3,0,3684.96,1842.48,11
Anka Mrak-Taritaš,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_mrak_taritas_m,2012,2012-11-18,2012-11-18,"Vukovar, Hrvatska",1,ne,300,0,0,300,150,11
Anka Mrak-Taritaš,Ministarstvo graditeljstva i prostornoga uređenja,http://imamopravoznati.org/request/putni_troskovi_za_mrak_taritas_m,2012,2012-11-28,2012-11-28,"Sisak, Hrvatska",2,ne,450,0,0,450,150,11
Gabrijela Žalac,Ministarstvo regionalnoga razvoja i fondova Europske unije,http://imamopravoznati.org/request/putni_troskovi_za_zalac_ministri,2016,2016-11-16,2016-11-16,Belgija,0,ne,6846.92,0,430.92,7277.84,7277.84,11
